,avg power band,spectral energy,peak alpha,hemispheric asymmetry
p1,94.1176,94.1176,94.1176,94.1176
p2,70,55,80,60
p3,81.8182,81.8182,81.8182,77.2727
p4,63.6364,50,63.6364,63.6364
p5,95.2381,95.2381,95.2381,95.2381
p6,80.9524,71.4286,61.9048,76.1905
p7,100,100,100,100
p8,77.2727,68.1818,81.8182,72.7273
p9,40,45,50,30
p10,78.9474,78.9474,78.9474,78.9474
p11,100,100,100,100
p12,58.8235,64.7059,58.8235,64.7059
p13,85.7143,85.7143,85.7143,85.7143
p14,52.6316,42.1053,57.8947,47.3684
p15,42.8571,57.1429,71.4286,57.1429
p16,64,64,60,48
p17,73.913,69.5652,65.2174,78.2609
p18,60.8696,65.2174,65.2174,65.2174
p19,57.1429,71.4286,61.9048,76.1905
p20,73.6842,78.9474,78.9474,73.6842
p21,33.3333,38.0952,66.6667,52.381
p22,63.6364,68.1818,77.2727,77.2727
p23,95,95,95,95
p24,72.7273,72.7273,81.8182,54.5455
p25,69.5652,69.5652,73.913,60.8696
p26,90.9091,90.9091,90.9091,90.9091
p27,61.9048,71.4286,66.6667,76.1905
p28,90.4762,90.4762,90.4762,90.4762
p29,58.3333,45.8333,70.8333,66.6667
p30,83.3333,83.3333,83.3333,75
p31,50,45.8333,58.3333,58.3333
p32,90.4762,90.4762,90.4762,90.4762
p33,70.8333,66.6667,70.8333,75
p34,40,40,55,45
p35,63.6364,54.5455,63.6364,63.6364
p36,40.9091,45.4545,63.6364,45.4545
p37,52.381,42.8571,47.619,47.619
p38,76.1905,76.1905,52.381,80.9524
p39,57.8947,68.4211,57.8947,63.1579
p40,94.1176,94.1176,94.1176,94.1176
p41,89.4737,89.4737,89.4737,89.4737
